seqname,source,feature,start,end,score,strand,frame,gene_id,gene_type,gene_name,level,tag,transcript_id,transcript_type,transcript_name,exon_number,exon_id,transcript_support_level,havana_transcript,hgnc_id,havana_gene,ont,protein_id,ccdsid,artif_dupl
chr1,ENSEMBL,gene,1167863,1167952,.,+,.,ENSG00000207607.3,miRNA,MIR200A,3,,,,,,,,,HGNC:31578,,,,,
chr1,ENSEMBL,transcript,1167863,1167952,.,+,.,ENSG00000207607.3,miRNA,MIR200A,3,GENCODE_Primary,ENST00000384875.3,miRNA,MIR200A-201,,,NA,,HGNC:31578,,,,,
chr1,ENSEMBL,exon,1167863,1167952,.,+,.,ENSG00000207607.3,miRNA,MIR200A,3,GENCODE_Primary,ENST00000384875.3,miRNA,MIR200A-201,1,ENSE00001499882.3,NA,,HGNC:31578,,,,,
chr1,ENSEMBL,gene,1169005,1169087,.,+,.,ENSG00000198976.1,miRNA,MIR429,3,,,,,,,,,HGNC:13784,,,,,
chr1,ENSEMBL,transcript,1169005,1169087,.,+,.,ENSG00000198976.1,miRNA,MIR429,3,GENCODE_Primary,ENST00000362106.1,miRNA,MIR429-201,,,NA,,HGNC:13784,,,,,
chr1,ENSEMBL,exon,1169005,1169087,.,+,.,ENSG00000198976.1,miRNA,MIR429,3,GENCODE_Primary,ENST00000362106.1,miRNA,MIR429-201,1,ENSE00001436869.1,NA,,HGNC:13784,,,,,
chr1,ENSEMBL,gene,1296110,1296170,.,-,.,ENSG00000278073.1,miRNA,MIR6726,3,,,,,,,,,HGNC:50009,,,,,
chr1,ENSEMBL,transcript,1296110,1296170,.,-,.,ENSG00000278073.1,miRNA,MIR6726,3,GENCODE_Primary,ENST00000613751.1,miRNA,MIR6726-201,,,NA,,HGNC:50009,,,,,
chr1,ENSEMBL,exon,1296110,1296170,.,-,.,ENSG00000278073.1,miRNA,MIR6726,3,GENCODE_Primary,ENST00000613751.1,miRNA,MIR6726-201,1,ENSE00003729583.1,NA,,HGNC:50009,,,,,
chr1,ENSEMBL,gene,1312502,1312566,.,-,.,ENSG00000283712.1,miRNA,MIR6727,3,,,,,,,,,HGNC:50171,,,,,
chr1,ENSEMBL,transcript,1312502,1312566,.,-,.,ENSG00000283712.1,miRNA,MIR6727,3,GENCODE_Primary,ENST00000620702.1,miRNA,MIR6727-201,,,NA,,HGNC:50171,,,,,
chr1,ENSEMBL,exon,1312502,1312566,.,-,.,ENSG00000283712.1,miRNA,MIR6727,3,GENCODE_Primary,ENST00000620702.1,miRNA,MIR6727-201,1,ENSE00003723902.1,NA,,HGNC:50171,,,,,
chr1,ENSEMBL,gene,1339650,1339708,.,-,.,ENSG00000284372.1,miRNA,MIR6808,3,,,,,,,,,HGNC:50046,,,,,
chr1,ENSEMBL,transcript,1339650,1339708,.,-,.,ENSG00000284372.1,miRNA,MIR6808,3,GENCODE_Primary,ENST00000616525.1,miRNA,MIR6808-201,,,NA,,HGNC:50046,,,,,
chr1,ENSEMBL,exon,1339650,1339708,.,-,.,ENSG00000284372.1,miRNA,MIR6808,3,GENCODE_Primary,ENST00000616525.1,miRNA,MIR6808-201,1,ENSE00003739900.1,NA,,HGNC:50046,,,,,
chr1,ENSEMBL,gene,3127975,3128035,.,+,.,ENSG00000283572.1,miRNA,MIR4251,3,,,,,,,,,HGNC:38370,,,,,
chr1,ENSEMBL,transcript,3127975,3128035,.,+,.,ENSG00000283572.1,miRNA,MIR4251,3,GENCODE_Primary,ENST00000635819.1,miRNA,MIR4251-201,,,NA,,HGNC:38370,,,,,
chr1,ENSEMBL,exon,3127975,3128035,.,+,.,ENSG00000283572.1,miRNA,MIR4251,3,GENCODE_Primary,ENST00000635819.1,miRNA,MIR4251-201,1,ENSE00003799900.1,NA,,HGNC:38370,,,,,
chr1,ENSEMBL,gene,3560695,3560790,.,-,.,ENSG00000207776.1,miRNA,MIR551A,3,,,,,,,,,HGNC:32806,,,,,
chr1,ENSEMBL,transcript,3560695,3560790,.,-,.,ENSG00000207776.1,miRNA,MIR551A,3,GENCODE_Primary,ENST00000385042.1,miRNA,MIR551A-201,,,NA,,HGNC:32806,,,,,
chr1,ENSEMBL,exon,3560695,3560790,.,-,.,ENSG00000207776.1,miRNA,MIR551A,3,GENCODE_Primary,ENST00000385042.1,miRNA,MIR551A-201,1,ENSE00001500049.1,NA,,HGNC:32806,,,,,
chr1,ENSEMBL,gene,5564071,5564143,.,+,.,ENSG00000264341.1,miRNA,ENSG00000264341,3,,,,,,,,,,,,,,
chr1,ENSEMBL,transcript,5564071,5564143,.,+,.,ENSG00000264341.1,miRNA,ENSG00000264341,3,GENCODE_Primary,ENST00000579887.1,miRNA,ENST00000579887,,,NA,,,,,,,
chr1,ENSEMBL,exon,5564071,5564143,.,+,.,ENSG00000264341.1,miRNA,ENSG00000264341,3,GENCODE_Primary,ENST00000579887.1,miRNA,ENST00000579887,1,ENSE00002721598.1,NA,,,,,,,
chr1,ENSEMBL,gene,5862672,5862741,.,-,.,ENSG00000264101.1,miRNA,MIR4689,3,,,,,,,,,HGNC:41895,,,,,
chr1,ENSEMBL,transcript,5862672,5862741,.,-,.,ENSG00000264101.1,miRNA,MIR4689,3,GENCODE_Primary,ENST00000582517.1,miRNA,MIR4689-201,,,NA,,HGNC:41895,,,,,
chr1,ENSEMBL,exon,5862672,5862741,.,-,.,ENSG00000264101.1,miRNA,MIR4689,3,GENCODE_Primary,ENST00000582517.1,miRNA,MIR4689-201,1,ENSE00002689481.1,NA,,HGNC:41895,,,,,
chr1,ENSEMBL,gene,6429834,6429896,.,-,.,ENSG00000265392.1,miRNA,MIR4252,3,,,,,,,,,HGNC:38384,,,,,
chr1,ENSEMBL,transcript,6429834,6429896,.,-,.,ENSG00000265392.1,miRNA,MIR4252,3,GENCODE_Primary,ENST00000585139.1,miRNA,MIR4252-201,,,NA,,HGNC:38384,,,,,
chr1,ENSEMBL,exon,6429834,6429896,.,-,.,ENSG00000265392.1,miRNA,MIR4252,3,GENCODE_Primary,ENST00000585139.1,miRNA,MIR4252-201,1,ENSE00002701441.1,NA,,HGNC:38384,,,,,
chr1,ENSEMBL,gene,8866502,8866590,.,-,.,ENSG00000274258.1,miRNA,MIR6728,3,,,,,,,,,HGNC:49961,,,,,
chr1,ENSEMBL,transcript,8866502,8866590,.,-,.,ENSG00000274258.1,miRNA,MIR6728,3,GENCODE_Primary,ENST00000618792.1,miRNA,MIR6728-201,,,NA,,HGNC:49961,,,,,
chr1,ENSEMBL,exon,8866502,8866590,.,-,.,ENSG00000274258.1,miRNA,MIR6728,3,GENCODE_Primary,ENST00000618792.1,miRNA,MIR6728-201,1,ENSE00003741900.1,NA,,HGNC:49961,,,,,
chr1,ENSEMBL,gene,9151668,9151777,.,-,.,ENSG00000284357.1,miRNA,MIR34A,3,,,,,,,,,HGNC:31635,,,,,
chr1,ENSEMBL,transcript,9151668,9151777,.,-,.,ENSG00000284357.1,miRNA,MIR34A,3,GENCODE_Primary,ENST00000385130.1,miRNA,MIR34A-201,,,NA,,HGNC:31635,,,,,
chr1,ENSEMBL,exon,9151668,9151777,.,-,.,ENSG00000284357.1,miRNA,MIR34A,3,GENCODE_Primary,ENST00000385130.1,miRNA,MIR34A-201,1,ENSE00001500136.1,NA,,HGNC:31635,,,,,
chr1,ENSEMBL,gene,9967381,9967458,.,+,.,ENSG00000265521.1,miRNA,MIR5697,3,,,,,,,,,HGNC:43509,,,,,
chr1,ENSEMBL,transcript,9967381,9967458,.,+,.,ENSG00000265521.1,miRNA,MIR5697,3,GENCODE_Primary,ENST00000578045.1,miRNA,MIR5697-201,,,NA,,HGNC:43509,,,,,
chr1,ENSEMBL,exon,9967381,9967458,.,+,.,ENSG00000265521.1,miRNA,MIR5697,3,GENCODE_Primary,ENST00000578045.1,miRNA,MIR5697-201,1,ENSE00002688669.1,NA,,HGNC:43509,,,,,
chr1,ENSEMBL,gene,10227718,10227803,.,+,.,ENSG00000264881.1,miRNA,ENSG00000264881,3,,,,,,,,,,,,,,
chr1,ENSEMBL,transcript,10227718,10227803,.,+,.,ENSG00000264881.1,miRNA,ENSG00000264881,3,GENCODE_Primary,ENST00000577266.1,miRNA,ENST00000577266,,,NA,,,,,,,
chr1,ENSEMBL,exon,10227718,10227803,.,+,.,ENSG00000264881.1,miRNA,ENSG00000264881,3,GENCODE_Primary,ENST00000577266.1,miRNA,ENST00000577266,1,ENSE00002394750.2,NA,,,,,,,
chr1,ENSEMBL,gene,12029158,12029222,.,+,.,ENSG00000276869.1,miRNA,MIR6729,3,,,,,,,,,HGNC:50103,,,,,
chr1,ENSEMBL,transcript,12029158,12029222,.,+,.,ENSG00000276869.1,miRNA,MIR6729,3,GENCODE_Primary,ENST00000618194.1,miRNA,MIR6729-201,,,NA,,HGNC:50103,,,,,
chr1,ENSEMBL,exon,12029158,12029222,.,+,.,ENSG00000276869.1,miRNA,MIR6729,3,GENCODE_Primary,ENST00000618194.1,miRNA,MIR6729-201,1,ENSE00003748620.1,NA,,HGNC:50103,,,,,
chr1,ENSEMBL,gene,12166943,12167038,.,+,.,ENSG00000283789.1,miRNA,MIR7846,3,,,,,,,,,HGNC:50029,,,,,
chr1,ENSEMBL,transcript,12166943,12167038,.,+,.,ENSG00000283789.1,miRNA,MIR7846,3,GENCODE_Primary,ENST00000622420.1,miRNA,MIR7846-201,,,NA,,HGNC:50029,,,,,
chr1,ENSEMBL,exon,12166943,12167038,.,+,.,ENSG00000283789.1,miRNA,MIR7846,3,GENCODE_Primary,ENST00000622420.1,miRNA,MIR7846-201,1,ENSE00003729924.1,NA,,HGNC:50029,,,,,
chr1,ENSEMBL,gene,12191713,12191773,.,+,.,ENSG00000263676.1,miRNA,MIR4632,3,,,,,,,,,HGNC:41593,,,,,
chr1,ENSEMBL,transcript,12191713,12191773,.,+,.,ENSG00000263676.1,miRNA,MIR4632,3,GENCODE_Primary,ENST00000584158.1,miRNA,MIR4632-201,,,NA,,HGNC:41593,,,,,
chr1,ENSEMBL,exon,12191713,12191773,.,+,.,ENSG00000263676.1,miRNA,MIR4632,3,GENCODE_Primary,ENST00000584158.1,miRNA,MIR4632-201,1,ENSE00002705738.1,NA,,HGNC:41593,,,,,
chr1,ENSEMBL,gene,12578957,12579023,.,-,.,ENSG00000276830.1,miRNA,MIR6730,3,,,,,,,,,HGNC:50222,,,,,
chr1,ENSEMBL,transcript,12578957,12579023,.,-,.,ENSG00000276830.1,miRNA,MIR6730,3,GENCODE_Primary,ENST00000622213.1,miRNA,MIR6730-201,,,NA,,HGNC:50222,,,,,
chr1,ENSEMBL,exon,12578957,12579023,.,-,.,ENSG00000276830.1,miRNA,MIR6730,3,GENCODE_Primary,ENST00000622213.1,miRNA,MIR6730-201,1,ENSE00003726375.1,NA,,HGNC:50222,,,,,
chr1,ENSEMBL,gene,16858949,16859021,.,-,.,ENSG00000263811.1,miRNA,MIR3675,3,,,,,,,,,HGNC:38973,,,,,
chr1,ENSEMBL,transcript,16858949,16859021,.,-,.,ENSG00000263811.1,miRNA,MIR3675,3,GENCODE_Primary,ENST00000583661.1,miRNA,MIR3675-201,,,NA,,HGNC:38973,,,,,
chr1,ENSEMBL,exon,16858949,16859021,.,-,.,ENSG00000263811.1,miRNA,MIR3675,3,GENCODE_Primary,ENST00000583661.1,miRNA,MIR3675-201,1,ENSE00002699344.1,NA,,HGNC:38973,,,,,
chr1,ENSEMBL,gene,17277889,17277975,.,+,.,ENSG00000266634.1,miRNA,MIR3972,3,,,,,,,,,HGNC:41876,,,,,
chr1,ENSEMBL,transcript,17277889,17277975,.,+,.,ENSG00000266634.1,miRNA,MIR3972,3,GENCODE_Primary,ENST00000582732.1,miRNA,MIR3972-201,,,NA,,HGNC:41876,,,,,
chr1,ENSEMBL,exon,17277889,17277975,.,+,.,ENSG00000266634.1,miRNA,MIR3972,3,GENCODE_Primary,ENST00000582732.1,miRNA,MIR3972-201,1,ENSE00002711854.1,NA,,HGNC:41876,,,,,
chr1,ENSEMBL,gene,18883202,18883275,.,-,.,ENSG00000265606.1,miRNA,MIR4695,3,,,,,,,,,HGNC:41573,,,,,
chr1,ENSEMBL,transcript,18883202,18883275,.,-,.,ENSG00000265606.1,miRNA,MIR4695,3,GENCODE_Primary,ENST00000577305.1,miRNA,MIR4695-201,,,NA,,HGNC:41573,,,,,
chr1,ENSEMBL,exon,18883202,18883275,.,-,.,ENSG00000265606.1,miRNA,MIR4695,3,GENCODE_Primary,ENST00000577305.1,miRNA,MIR4695-201,1,ENSE00002695323.1,NA,,HGNC:41573,,,,,
chr1,ENSEMBL,gene,18897071,18897148,.,-,.,ENSG00000221662.1,miRNA,MIR1290,3,,,,,,,,,HGNC:35283,,,,,
chr1,ENSEMBL,transcript,18897071,18897148,.,-,.,ENSG00000221662.1,miRNA,MIR1290,3,GENCODE_Primary,ENST00000408735.1,miRNA,MIR1290-201,,,NA,,HGNC:35283,,,,,
chr1,ENSEMBL,exon,18897071,18897148,.,-,.,ENSG00000221662.1,miRNA,MIR1290,3,GENCODE_Primary,ENST00000408735.1,miRNA,MIR1290-201,1,ENSE00001565370.1,NA,,HGNC:35283,,,,,
chr1,ENSEMBL,gene,20633679,20633788,.,+,.,ENSG00000284005.1,miRNA,MIR6084,3,,,,,,,,,HGNC:50235,,,,,
chr1,ENSEMBL,transcript,20633679,20633788,.,+,.,ENSG00000284005.1,miRNA,MIR6084,3,GENCODE_Primary,ENST00000622012.1,miRNA,MIR6084-201,,,NA,,HGNC:50235,,,,,
chr1,ENSEMBL,exon,20633679,20633788,.,+,.,ENSG00000284005.1,miRNA,MIR6084,3,GENCODE_Primary,ENST00000622012.1,miRNA,MIR6084-201,1,ENSE00003719755.1,NA,,HGNC:50235,,,,,
chr1,ENSEMBL,gene,20988314,20988432,.,-,.,ENSG00000221808.1,miRNA,MIR1256,3,,,,,,,,,HGNC:35321,,,,,
chr1,ENSEMBL,transcript,20988314,20988432,.,-,.,ENSG00000221808.1,miRNA,MIR1256,3,GENCODE_Primary,ENST00000408881.1,miRNA,MIR1256-201,,,NA,,HGNC:35321,,,,,
chr1,ENSEMBL,exon,20988314,20988432,.,-,.,ENSG00000221808.1,miRNA,MIR1256,3,GENCODE_Primary,ENST00000408881.1,miRNA,MIR1256-201,1,ENSE00001565516.1,NA,,HGNC:35321,,,,,
chr1,ENSEMBL,gene,22266239,22266300,.,+,.,ENSG00000266564.1,miRNA,MIR4418,3,,,,,,,,,HGNC:41789,,,,,
chr1,ENSEMBL,transcript,22266239,22266300,.,+,.,ENSG00000266564.1,miRNA,MIR4418,3,GENCODE_Primary,ENST00000581169.1,miRNA,MIR4418-201,,,NA,,HGNC:41789,,,,,
chr1,ENSEMBL,exon,22266239,22266300,.,+,.,ENSG00000266564.1,miRNA,MIR4418,3,GENCODE_Primary,ENST00000581169.1,miRNA,MIR4418-201,1,ENSE00002694821.1,NA,,HGNC:41789,,,,,
chr1,ENSEMBL,gene,22633258,22633366,.,-,.,ENSG00000276835.2,miRNA,MIR6127,3,,,,,,,,,HGNC:50163,,,,,
chr1,ENSEMBL,transcript,22633258,22633366,.,-,.,ENSG00000276835.2,miRNA,MIR6127,3,GENCODE_Primary,ENST00000614019.2,miRNA,MIR6127-201,,,NA,,HGNC:50163,,,,,
chr1,ENSEMBL,exon,22633258,22633366,.,-,.,ENSG00000276835.2,miRNA,MIR6127,3,GENCODE_Primary,ENST00000614019.2,miRNA,MIR6127-201,1,ENSE00003723861.2,NA,,HGNC:50163,,,,,
chr1,ENSEMBL,gene,22719517,22719598,.,+,.,ENSG00000265422.1,miRNA,MIR4684,3,,,,,,,,,HGNC:41695,,,,,
chr1,ENSEMBL,transcript,22719517,22719598,.,+,.,ENSG00000265422.1,miRNA,MIR4684,3,GENCODE_Primary,ENST00000581646.1,miRNA,MIR4684-201,,,NA,,HGNC:41695,,,,,
chr1,ENSEMBL,exon,22719517,22719598,.,+,.,ENSG00000265422.1,miRNA,MIR4684,3,GENCODE_Primary,ENST00000581646.1,miRNA,MIR4684-201,1,ENSE00002721039.1,NA,,HGNC:41695,,,,,
chr1,ENSEMBL,gene,22863159,22863226,.,-,.,ENSG00000264014.1,miRNA,MIR4253,3,,,,,,,,,HGNC:38231,,,,,
chr1,ENSEMBL,transcript,22863159,22863226,.,-,.,ENSG00000264014.1,miRNA,MIR4253,3,GENCODE_Primary,ENST00000581187.1,miRNA,MIR4253-201,,,NA,,HGNC:38231,,,,,
chr1,ENSEMBL,exon,22863159,22863226,.,-,.,ENSG00000264014.1,miRNA,MIR4253,3,GENCODE_Primary,ENST00000581187.1,miRNA,MIR4253-201,1,ENSE00002690245.1,NA,,HGNC:38231,,,,,
chr1,ENSEMBL,gene,23044305,23044372,.,+,.,ENSG00000263793.1,miRNA,MIR3115,3,,,,,,,,,HGNC:38371,,,,,
chr1,ENSEMBL,transcript,23044305,23044372,.,+,.,ENSG00000263793.1,miRNA,MIR3115,3,GENCODE_Primary,ENST00000577915.1,miRNA,MIR3115-201,,,NA,,HGNC:38371,,,,,
chr1,ENSEMBL,exon,23044305,23044372,.,+,.,ENSG00000263793.1,miRNA,MIR3115,3,GENCODE_Primary,ENST00000577915.1,miRNA,MIR3115-201,1,ENSE00002707582.1,NA,,HGNC:38371,,,,,
chr1,ENSEMBL,gene,23057858,23057934,.,-,.,ENSG00000266802.1,miRNA,ENSG00000266802,3,,,,,,,,,,,,,,
chr1,ENSEMBL,transcript,23057858,23057934,.,-,.,ENSG00000266802.1,miRNA,ENSG00000266802,3,GENCODE_Primary,ENST00000583845.1,miRNA,ENST00000583845,,,NA,,,,,,,
chr1,ENSEMBL,exon,23057858,23057934,.,-,.,ENSG00000266802.1,miRNA,ENSG00000266802,3,GENCODE_Primary,ENST00000583845.1,miRNA,ENST00000583845,1,ENSE00002686685.1,NA,,,,,,,
chr1,ENSEMBL,gene,23929070,23929147,.,+,.,ENSG00000264926.1,miRNA,MIR378F,3,,,,,,,,,HGNC:41686,,,,,
chr1,ENSEMBL,transcript,23929070,23929147,.,+,.,ENSG00000264926.1,miRNA,MIR378F,3,GENCODE_Primary,ENST00000578143.1,miRNA,MIR378F-201,,,NA,,HGNC:41686,,,,,
chr1,ENSEMBL,exon,23929070,23929147,.,+,.,ENSG00000264926.1,miRNA,MIR378F,3,GENCODE_Primary,ENST00000578143.1,miRNA,MIR378F-201,1,ENSE00002688141.1,NA,,HGNC:41686,,,,,
chr1,ENSEMBL,gene,24919345,24919416,.,-,.,ENSG00000278034.1,miRNA,MIR6731,3,,,,,,,,,HGNC:50036,,,,,
chr1,ENSEMBL,transcript,24919345,24919416,.,-,.,ENSG00000278034.1,miRNA,MIR6731,3,GENCODE_Primary,ENST00000614863.1,miRNA,MIR6731-201,,,NA,,HGNC:50036,,,,,
chr1,ENSEMBL,exon,24919345,24919416,.,-,.,ENSG00000278034.1,miRNA,MIR6731,3,GENCODE_Primary,ENST00000614863.1,miRNA,MIR6731-201,1,ENSE00003727057.1,NA,,HGNC:50036,,,,,
chr1,ENSEMBL,gene,25023503,25023586,.,+,.,ENSG00000264371.1,miRNA,MIR4425,3,,,,,,,,,HGNC:41891,,,,,
chr1,ENSEMBL,transcript,25023503,25023586,.,+,.,ENSG00000264371.1,miRNA,MIR4425,3,GENCODE_Primary,ENST00000580572.1,miRNA,MIR4425-201,,,NA,,HGNC:41891,,,,,
chr1,ENSEMBL,exon,25023503,25023586,.,+,.,ENSG00000264371.1,miRNA,MIR4425,3,GENCODE_Primary,ENST00000580572.1,miRNA,MIR4425-201,1,ENSE00002705760.1,NA,,HGNC:41891,,,,,
chr1,ENSEMBL,gene,25906362,25906454,.,-,.,ENSG00000283938.1,miRNA,MIR3917,3,,,,,,,,,HGNC:38911,,,,,
chr1,ENSEMBL,transcript,25906362,25906454,.,-,.,ENSG00000283938.1,miRNA,MIR3917,3,GENCODE_Primary,ENST00000580971.1,miRNA,MIR3917-201,,,NA,,HGNC:38911,,,,,
chr1,ENSEMBL,exon,25906362,25906454,.,-,.,ENSG00000283938.1,miRNA,MIR3917,3,GENCODE_Primary,ENST00000580971.1,miRNA,MIR3917-201,1,ENSE00002720896.1,NA,,HGNC:38911,,,,,
chr1,ENSEMBL,gene,26554542,26554593,.,+,.,ENSG00000238705.1,miRNA,MIR1976,3,,,,,,,,,HGNC:37064,,,,,
chr1,ENSEMBL,transcript,26554542,26554593,.,+,.,ENSG00000238705.1,miRNA,MIR1976,3,GENCODE_Primary,ENST00000459548.1,miRNA,MIR1976-201,,,NA,,HGNC:37064,,,,,
chr1,ENSEMBL,exon,26554542,26554593,.,+,.,ENSG00000238705.1,miRNA,MIR1976,3,GENCODE_Primary,ENST00000459548.1,miRNA,MIR1976-201,1,ENSE00001808351.1,NA,,HGNC:37064,,,,,
chr1,ENSEMBL,gene,30739156,30739232,.,-,.,ENSG00000264773.1,miRNA,MIR4420,3,,,,,,,,,HGNC:41772,,,,,
chr1,ENSEMBL,transcript,30739156,30739232,.,-,.,ENSG00000264773.1,miRNA,MIR4420,3,GENCODE_Primary,ENST00000583944.1,miRNA,MIR4420-201,,,NA,,HGNC:41772,,,,,
chr1,ENSEMBL,exon,30739156,30739232,.,-,.,ENSG00000264773.1,miRNA,MIR4420,3,GENCODE_Primary,ENST00000583944.1,miRNA,MIR4420-201,1,ENSE00002693183.1,NA,,HGNC:41772,,,,,
chr1,ENSEMBL,gene,31758660,31758735,.,-,.,ENSG00000266580.1,miRNA,MIR4254,3,,,,,,,,,HGNC:38193,,,,,
chr1,ENSEMBL,transcript,31758660,31758735,.,-,.,ENSG00000266580.1,miRNA,MIR4254,3,GENCODE_Primary,ENST00000581063.1,miRNA,MIR4254-201,,,NA,,HGNC:38193,,,,,
chr1,ENSEMBL,exon,31758660,31758735,.,-,.,ENSG00000266580.1,miRNA,MIR4254,3,GENCODE_Primary,ENST00000581063.1,miRNA,MIR4254-201,1,ENSE00002687514.1,NA,,HGNC:38193,,,,,
chr1,ENSEMBL,gene,32086949,32087007,.,+,.,ENSG00000266203.1,miRNA,MIR5585,3,,,,,,,,,HGNC:43452,,,,,
chr1,ENSEMBL,transcript,32086949,32087007,.,+,.,ENSG00000266203.1,miRNA,MIR5585,3,GENCODE_Primary,ENST00000577515.1,miRNA,MIR5585-201,,,NA,,HGNC:43452,,,,,
chr1,ENSEMBL,exon,32086949,32087007,.,+,.,ENSG00000266203.1,miRNA,MIR5585,3,GENCODE_Primary,ENST00000577515.1,miRNA,MIR5585-201,1,ENSE00002709089.1,NA,,HGNC:43452,,,,,
chr1,ENSEMBL,gene,33332393,33332492,.,-,.,ENSG00000284154.1,miRNA,MIR3605,3,,,,,,,,,HGNC:38922,,,,,
chr1,ENSEMBL,transcript,33332393,33332492,.,-,.,ENSG00000284154.1,miRNA,MIR3605,3,GENCODE_Primary,ENST00000583214.3,miRNA,MIR3605-201,,,NA,,HGNC:38922,,,,,
chr1,ENSEMBL,exon,33332393,33332492,.,-,.,ENSG00000284154.1,miRNA,MIR3605,3,GENCODE_Primary,ENST00000583214.3,miRNA,MIR3605-201,1,ENSE00002731174.3,NA,,HGNC:38922,,,,,
chr1,ENSEMBL,gene,34669599,34669694,.,-,.,ENSG00000207941.1,miRNA,MIR552,3,,,,,,,,,HGNC:32808,,,,,
chr1,ENSEMBL,transcript,34669599,34669694,.,-,.,ENSG00000207941.1,miRNA,MIR552,3,GENCODE_Primary,ENST00000385206.1,miRNA,MIR552-201,,,NA,,HGNC:32808,,,,,
chr1,ENSEMBL,exon,34669599,34669694,.,-,.,ENSG00000207941.1,miRNA,MIR552,3,GENCODE_Primary,ENST00000385206.1,miRNA,MIR552-201,1,ENSE00001500212.1,NA,,HGNC:32808,,,,,
chr1,ENSEMBL,gene,37161563,37161634,.,+,.,ENSG00000264698.1,miRNA,MIR4255,3,,,,,,,,,HGNC:38187,,,,,
chr1,ENSEMBL,transcript,37161563,37161634,.,+,.,ENSG00000264698.1,miRNA,MIR4255,3,GENCODE_Primary,ENST00000579351.1,miRNA,MIR4255-201,,,NA,,HGNC:38187,,,,,
chr1,ENSEMBL,exon,37161563,37161634,.,+,.,ENSG00000264698.1,miRNA,MIR4255,3,GENCODE_Primary,ENST00000579351.1,miRNA,MIR4255-201,1,ENSE00002726111.1,NA,,HGNC:38187,,,,,
chr1,ENSEMBL,gene,37480230,37480289,.,+,.,ENSG00000283724.1,miRNA,MIR6732,3,,,,,,,,,HGNC:50066,,,,,
chr1,ENSEMBL,transcript,37480230,37480289,.,+,.,ENSG00000283724.1,miRNA,MIR6732,3,GENCODE_Primary,ENST00000619365.1,miRNA,MIR6732-201,,,NA,,HGNC:50066,,,,,
